Country,Year,Predicted_Share
Congo,2022,67.51665451126587
Congo,2023,66.69108300417932
Congo,2024,65.98056419157543
Congo,2025,65.43507984040997
Congo,2026,65.0558072329299
Congo,2027,64.81481937680314
Congo,2028,64.67406782287871
Congo,2029,64.59819594058746
Congo,2030,64.56033873635592
Costa Rica,2020,35.53366712624288
Costa Rica,2021,35.521261271475105
Costa Rica,2022,35.625037805234385
Costa Rica,2023,35.80088371401403
Costa Rica,2024,36.00024971595148
Costa Rica,2025,36.18474074568024
Costa Rica,2026,36.33277401992665
Costa Rica,2027,36.4385981820746
Costa Rica,2028,36.5069997149879
Costa Rica,2029,36.54733895829453
Costa Rica,2030,36.56917466313811
Cote d'Ivoire,2020,63.331051275233946
Cote d'Ivoire,2021,64.12442318930763
Cote d'Ivoire,2022,65.05819601805534
Cote d'Ivoire,2023,65.94709479644467
Cote d'Ivoire,2024,66.68167481188297
Cote d'Ivoire,2025,67.22464366319811
Cote d'Ivoire,2026,67.58924131689479
Cote d'Ivoire,2027,67.81369849820715
Cote d'Ivoire,2028,67.94112884971572
Cote d'Ivoire,2029,68.00810906032432
Cote d'Ivoire,2030,68.04079496295341
Croatia,2020,30.122543656886116
Croatia,2021,29.70661276334769
Croatia,2022,29.3712865319667
Croatia,2023,29.11171122714367
Croatia,2024,28.916742403997358
Croatia,2025,28.77458251723364
Croatia,2026,28.674652968080697
Croatia,2027,28.607610351343165
Croatia,2028,28.565092410938345
Croatia,2029,28.539792045449605
Croatia,2030,28.525736640993607
Cuba,2020,24.230680056110863
Cuba,2021,24.68151083649895
Cuba,2022,25.024384838617294
Cuba,2023,25.260666381696716
Cuba,2024,25.406786390702333
Cuba,2025,25.48657065586506
Cuba,2026,25.52377149113107
Cuba,2027,25.537341914088813
Cuba,2028,25.539921670264295
Cuba,2029,25.538600144870472
Cuba,2030,25.536634935344107
Curacao,2020,3.3512312051815947
Curacao,2021,3.464954924314508
Curacao,2022,3.3722676328662393
Curacao,2023,3.097404847642375
Curacao,2024,2.7105294712534675
Curacao,2025,2.2960004854074247
Curacao,2026,1.9226923967683542
Curacao,2027,1.6287766723746608
Curacao,2028,1.4223070034079357
Curacao,2029,1.2913140688893157
Curacao,2030,1.2156549900258136
Cyprus,2020,10.135657396204435
Cyprus,2021,9.546813461925664
Cyprus,2022,8.912745314155561
Cyprus,2023,8.309160565383097
Cyprus,2024,7.791385657181229
Cyprus,2025,7.386854324776292
Cyprus,2026,7.097104213509509
Cyprus,2027,6.90600151344073
Cyprus,2028,6.789578216310249
Cyprus,2029,6.723910705133168
Cyprus,2030,6.689557167104047
Czechia,2020,13.035772901791198
Czechia,2021,12.438282638994355
Czechia,2022,11.880625551332104
Czechia,2023,11.394927127572565
Czechia,2024,10.999040837243303
Czechia,2025,10.69709338005312
Czechia,2026,10.481857945054992
Czechia,2027,10.338671714146194
Czechia,2028,10.249879193064826
Czechia,2029,10.198595944606916
Czechia,2030,10.17102295188902
Democratic Republic of Congo,2020,96.25498550096805
Democratic Republic of Congo,2021,95.90269220478226
Democratic Republic of Congo,2022,95.66077075270665
Democratic Republic of Congo,2023,95.58998977316165
Democratic Republic of Congo,2024,95.67597243271699
Democratic Republic of Congo,2025,95.85902077895797
Democratic Republic of Congo,2026,96.07136364301189
Democratic Republic of Congo,2027,96.26284289742722
Democratic Republic of Congo,2028,96.4092093548455
Democratic Republic of Congo,2029,96.50753862516552
Democratic Republic of Congo,2030,96.56670721102108
Denmark,2020,27.076102351420893
Denmark,2021,25.620932905501647
Denmark,2022,24.28199858563183
Denmark,2023,23.161282500565147
Denmark,2024,22.299057381970663
Denmark,2025,21.685653276234962
Denmark,2026,21.280619963238735
Denmark,2027,21.03179071720972
Denmark,2028,20.889334147362515
Denmark,2029,20.813245715646687
Denmark,2030,20.77530110161281
Djibouti,2020,28.20490144981633
Djibouti,2021,28.736375534139583
Djibouti,2022,29.30250759711952
Djibouti,2023,29.812488087828143
Djibouti,2024,30.21818709484243
Djibouti,2025,30.50916927930641
Djibouti,2026,30.699525695558453
Djibouti,2027,30.813919890245405
Djibouti,2028,30.87736743434688
Djibouti,2029,30.909951698302972
Djibouti,2030,30.925482359089006
Dominica,2020,8.975911065231692
Dominica,2021,9.043208322861574
Dominica,2022,9.206936812586964
Dominica,2023,9.413713455381936
Dominica,2024,9.619933978550224
Dominica,2025,9.797609176240545
Dominica,2026,9.934439763590854
Dominica,2027,10.030165403726754
Dominica,2028,10.09153403234032
Dominica,2029,10.127771718053776
Dominica,2030,10.147544701666648
Dominican Republic,2020,16.364876241498436
Dominican Republic,2021,16.591345072438617
Dominican Republic,2022,16.821902984149638
Dominican Republic,2023,17.030455447540643
Dominican Republic,2024,17.20135663779164
Dominican Republic,2025,17.329689235691646
Dominican Republic,2026,17.41863820175959
Dominican Republic,2027,17.47581563113774
Dominican Republic,2028,17.51001000332348
Dominican Republic,2029,17.52907423033203
Dominican Republic,2030,17.538995638710546
East Timor,2020,27.317362472279804
East Timor,2021,28.87216218375467
East Timor,2022,30.198631179514166
East Timor,2023,31.220998271920173
East Timor,2024,31.938248725536255
East Timor,2025,32.39816752705652
East Timor,2026,32.66835766801644
East Timor,2027,32.81398839811852
East Timor,2028,32.88606826610781
East Timor,2029,32.91884737142557
East Timor,2030,32.932548750761036
Ecuador,2020,16.95684210353888
Ecuador,2021,16.9608540402229
Ecuador,2022,16.80980322497714
Ecuador,2023,16.585925743018684
Ecuador,2024,16.356369582872478
Ecuador,2025,16.162040721288914
Ecuador,2026,16.018466807250412
Ecuador,2027,15.923542076661809
Ecuador,2028,15.86661150425693
Ecuador,2029,15.83538254312708
Ecuador,2030,15.819629348599388
Egypt,2020,5.248962954700426
Egypt,2021,5.409670475212773
Egypt,2022,5.606809248866828
Egypt,2023,5.806634779540969
Egypt,2024,5.982584071869056
Egypt,2025,6.120489494410243
Egypt,2026,6.21806358424906
Egypt,2027,6.28094653577196
Egypt,2028,6.31808486330768
Egypt,2029,6.338272731649335
Egypt,2030,6.348405562816086
El Salvador,2020,25.76133488203441
El Salvador,2021,26.68458366651454
El Salvador,2022,27.547027196237806
El Salvador,2023,28.27324998589993
El Salvador,2024,28.833946696054426
El Salvador,2025,29.23471406317391
El Salvador,2026,29.50142611470195
El Salvador,2027,29.66724678319003
El Salvador,2028,29.76373865101618
El Salvador,2029,29.81633878748573
El Salvador,2030,29.843207401410663
Equatorial Guinea,2020,5.597697382689672
Equatorial Guinea,2021,5.985457534606045
Equatorial Guinea,2022,6.280540224349371
Equatorial Guinea,2023,6.475440858558706
Equatorial Guinea,2024,6.5831081358071195
